Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Montrezl Harrell,27.8,CHA,Big,506,88,64.4%,64,71%,61,44%,28,17%,43,39%,0,,0,,0,
Gary Harris,27.1,ORL,Wing,1729,57,53.9%,50,63%,65,42%,42,34%,40,38%,81,46%,36,32%,71,38%
Joe Harris,30.2,BKN,Wing,422,99,62.7%,4,41%,86,50%,22,25%,78,44%,100,61%,90,41%,98,47%
Tobias Harris,29.3,PHI,Forward,2541,56,53.3%,59,66%,68,43%,69,44%,65,43%,62,41%,65,36%,74,37%
Josh Hart,26.7,NOP,Wing,1368,74,55.9%,71,68%,45,38%,83,47%,55,41%,99,57%,8,25%,24,32%
Josh Hart,26.7,POR,Combo,415,94,59.4%,97,71%,80,48%,23,30%,63,43%,0,56%,65,36%,68,38%
Isaiah Hartenstein,23.5,LAC,Big,1118,82,63.0%,70,72%,87,52%,8,0%,88,52%,0,33%,38,31%,37,32%
Jaxson Hayes,21.4,NOP,Big,1347,85,63.6%,86,76%,70,47%,38,25%,67,45%,17,29%,51,33%,38,32%
Killian Hayes,20.3,DET,Point,1619,16,44.0%,68,61%,50,40%,26,30%,38,37%,15,31%,7,25%,6,27%
Gordon Hayward,31.6,CHA,Wing,1561,49,52.8%,43,63%,31,34%,93,52%,60,41%,66,43%,74,38%,75,39%
Juan Hernangomez,26.1,UTA,Big,270,80,62.5%,33,65%,21,33%,0,,22,33%,88,48%,74,38%,92,42%
Willy Hernangomez,27.4,NOP,Big,772,16,51.2%,8,57%,45,40%,38,25%,42,39%,0,0%,0,33%,0,30%
Tyler Herro,21.8,MIA,Combo,2109,66,52.4%,61,61%,57,43%,61,41%,61,42%,62,41%,82,40%,82,40%
Buddy Hield,28.9,SAC,Wing,1557,35,51.2%,22,57%,10,17%,59,40%,17,30%,62,41%,55,36%,51,36%
Buddy Hield,28.9,IND,Wing,924,66,54.7%,40,61%,91,51%,80,47%,88,49%,43,38%,61,36%,55,37%
Haywood Highsmith,24.9,MIA,Big,133,16,51.2%,1,30%,95,60%,79,50%,95,57%,0,43%,0,33%,83,39%
George Hill,35.5,MIL,Combo,1235,59,51.3%,94,68%,20,28%,72,44%,24,33%,67,42%,10,25%,29,32%
Malcolm Hill,26.0,CHI,Forward,157,88,57.5%,27,60%,97,60%,95,100%,100,71%,0,50%,23,30%,64,36%
Solomon Hill,30.6,ATL,Forward,124,0,25.0%,0,20%,0,0%,0,,0,0%,0,33%,0,14%,0,20%
Jaylen Hoard,22.6,OKC,Wing,233,58,53.9%,77,69%,25,33%,87,50%,25,34%,0,50%,17,29%,42,36%
Aaron Holiday,25.1,WAS,Combo,619,60,51.5%,67,63%,85,50%,27,31%,86,47%,0,38%,31,31%,35,33%
Aaron Holiday,25.1,PHX,Point,310,22,45.3%,42,57%,24,31%,22,29%,18,30%,0,67%,93,41%,100,43%
Jrue Holiday,31.4,MIL,Point,2201,98,57.2%,72,62%,96,49%,92,50%,94,49%,33,34%,100,42%,96,42%
Justin Holiday,32.6,SAC,Wing,637,16,47.3%,5,42%,6,13%,46,35%,14,28%,29,35%,45,34%,33,34%
Justin Holiday,32.6,IND,Wing,1413,72,55.7%,57,65%,33,35%,74,44%,63,41%,47,38%,73,38%,66,38%
Richaun Holmes,28.0,SAC,Big,1071,92,66.1%,80,75%,92,55%,89,53%,94,55%,0,100%,0,25%,0,40%
Rodney Hood,29.0,MIL,Forward,527,15,45.7%,96,77%,51,40%,14,13%,9,26%,68,42%,16,28%,31,32%
Al Horford,35.4,BOS,Big,2003,41,54.9%,72,73%,72,48%,78,48%,81,48%,70,40%,41,32%,55,34%
Talen Horton-Tucker,20.9,LAL,Wing,1470,11,46.6%,35,60%,32,34%,43,34%,23,34%,9,30%,13,28%,10,28%
Danuel House,28.4,UTA,Wing,482,90,59.2%,86,74%,6,14%,35,33%,6,18%,72,44%,89,41%,93,43%
Danuel House,28.4,HOU,Forward,220,10,44.1%,1,42%,3,13%,89,57%,22,33%,0,25%,93,41%,49,34%
Dwight Howard,35.9,LAL,Big,950,80,62.5%,65,71%,8,25%,8,0%,6,22%,0,100%,0,38%,0,50%
Markus Howard,22.7,DEN,Combo,110,67,52.5%,23,50%,37,38%,33,33%,31,36%,0,44%,70,38%,71,39%
Kevin Huerter,23.2,ATL,Wing,2177,77,56.0%,48,63%,90,50%,84,47%,90,49%,71,44%,64,37%,73,39%
Elijah Hughes,23.6,POR,Forward,271,1,35.6%,14,56%,31,35%,29,30%,22,33%,0,14%,7,25%,3,22%
DeAndre Hunter,23.9,ATL,Forward,1575,39,51.0%,28,60%,67,42%,40,35%,45,39%,51,39%,77,38%,80,38%
Nah'Shon Hyland,21.1,DEN,Combo,1252,58,51.3%,56,60%,17,26%,82,50%,35,36%,11,29%,73,38%,53,36%
Serge Ibaka,32.1,LAC,Big,534,44,55.5%,54,68%,88,53%,57,35%,75,47%,0,50%,80,39%,85,39%
Serge Ibaka,32.1,MIL,Big,330,67,58.9%,98,79%,86,52%,61,38%,78,47%,0,14%,90,41%,64,36%
Andre Iguodala,37.8,GSW,Forward,598,17,46.6%,83,71%,85,50%,32,33%,66,44%,8,25%,6,24%,10,24%
Joe Ingles,34.1,UTA,Forward,1117,61,54.1%,89,72%,93,56%,32,33%,94,54%,39,36%,54,34%,51,35%
Brandon Ingram,24.2,NOP,Forward,1865,29,49.9%,48,65%,82,47%,71,45%,77,46%,44,38%,29,32%,32,32%
Kyrie Irving,29.6,BKN,Combo,1083,79,55.0%,92,68%,88,50%,45,38%,73,45%,83,45%,90,41%,85,42%
Frank Jackson,23.5,DET,Combo,1147,41,49.5%,60,61%,72,45%,68,44%,71,45%,60,41%,11,26%,26,31%
Isaiah Jackson,19.8,IND,Big,495,57,57.5%,41,67%,21,33%,44,30%,21,33%,0,100%,0,21%,0,27%
Jaren Jackson,22.1,MEM,Big,2112,5,47.8%,11,58%,34,38%,90,55%,38,38%,10,27%,51,33%,40,32%
Josh Jackson,24.7,DET,Forward,676,16,46.4%,40,63%,65,41%,32,33%,39,38%,4,22%,21,30%,17,27%
Josh Jackson,24.7,SAC,Forward,109,3,41.1%,30,61%,11,25%,20,22%,6,23%,0,0%,0,27%,0,21%
Reggie Jackson,31.5,LAC,Combo,2331,27,46.7%,44,57%,49,41%,36,34%,39,38%,25,35%,48,33%,41,34%
LeBron James,36.8,LAL,Big,2078,67,58.9%,83,75%,44,40%,64,40%,45,40%,23,31%,65,36%,62,36%
Ty Jerome,24.3,OKC,Combo,759,29,47.2%,20,48%,84,49%,63,43%,88,49%,76,44%,13,28%,21,31%
Isaiah Joe,22.3,PHI,Combo,518,61,51.5%,75,64%,95,57%,10,15%,16,30%,48,39%,55,35%,54,36%
Cameron Johnson,25.7,PHX,Forward,1670,94,59.7%,93,74%,39,38%,17,21%,22,33%,85,46%,89,41%,96,43%
James Johnson,34.7,BKN,Big,1139,13,50.3%,22,62%,42,39%,25,10%,26,34%,5,25%,8,25%,11,25%
Keldon Johnson,21.9,SAS,Forward,2390,72,54.7%,35,62%,63,41%,65,42%,60,41%,94,49%,72,37%,89,40%
